Actor,A_Acc,Social_diversity,Type
289969,6592929,0,Human
289996,7984084,0.8521,Human
289997,6488098,1.4944,Human
289998,9574366,0,Human
289999,9574283,1.0264,Human
290001,6864460,0.6393,Human
290002,8871006,1.2939,Human
290017,8722067,1.1648,Human
290070,6274498,1.1479,Human
290072,6945655,0.4101,Human
290122,6224993,0.8727,Human
290150,9301775,1.1275,Human
290154,6950668,0.6365,Human
290168,8871463,1.0708,Human
290169,8257243,1.2118,Human
290176,4983855,1.2372,Human
290191,7997490,1.0397,Human
290199,7506094,0.4293,Human
290216,7279121,1.406,Human
290221,7431307,0.5209,Human
290259,7631436,0.7747,Human
290279,8022849,0,Bot
290283,6233649,0.3768,Human
290293,7399425,0.4387,Human
290301,6716862,1.1173,Human
290305,6473335,0.5511,Human
290312,8955069,1.258,Human
290330,9578465,0.5776,Human
290340,9549332,0.2378,Bot
290344,9292193,1.0889,Human
290360,9540019,1.0032,Human
290369,7634934,1.3421,Human
290383,6984830,1.4374,Human
290387,8508305,1.5596,Human
290405,9579796,0.8981,Human
290406,9579974,1.0114,Human
290410,9256665,0.6931,Human
290423,9580270,0.6365,Human
290439,4201722,0.5004,Human
290487,9501383,0.8418,Human
290495,6229685,1.2538,Human
290509,9546799,0.2349,Human
290511,8614300,0,Human
290513,7940020,0.86,Human
290530,6200260,0.251,Human
290546,9569896,1.2498,Human
290561,8858707,1.1611,Human
290580,6299629,0.5427,Human
290581,8792869,1.3538,Human
290587,8515852,0.6931,Human
290614,6679078,0.5628,Human
290618,8613544,1.1965,Human
290619,8388775,1.0136,Human
290623,8400451,1.0056,Human
290634,4005196,0.9736,Human
290666,7713012,0.8781,Human
290669,9566286,0.4191,Human
290710,8247318,1.2604,Human
290712,7105412,0.8427,Human
290726,8652723,0.3768,Bot
290735,9570717,0.9246,Human
290781,6896497,0.588,Human
290802,9317830,0,Human
290809,6605600,0,Human
290816,9299343,0.8425,Human
290817,6883868,0.5623,Human
290821,8251343,0.6019,Human
290845,9584269,1.3108,Human
290886,8373492,1.291,Human
290887,6304273,0.6792,Bot
290903,9101962,0.7215,Bot
290913,8373492,0.7414,Human
290942,6947479,1.2888,Human
290960,9410072,1.1463,Human
291008,6306267,1.1959,Human
291011,7981791,0.826,Human
291044,6706866,1.4681,Human
291072,7537876,1.2171,Bot
291078,6286493,0.4506,Human
291225,8662837,1.277,Human
291238,9560223,0.7881,Human
291249,8736425,1.1235,Human
291310,6498330,1.2326,Human
291315,8573419,0.9748,Human
291317,7949712,0.7721,Human
291347,8573419,0.6931,Human
291350,8573419,1.0336,Human
291374,9562531,1.2341,Human
291401,9570717,1.0261,Human
291423,9416985,0,Human
291427,9539271,0.8824,Human
291438,9516775,0,Human
291445,6699186,0.8314,Human
291455,9589804,0.3046,Human
291458,4077417,0.4563,Human
291469,6718803,1.2063,Bot
291471,7939652,1.0735,Human
291482,6730524,0.8676,Human
291483,7509034,0.5994,Human
291484,9253241,0.9852,Human
291496,6784444,1.3762,Human
291499,9591617,1.1759,Human
291505,9335487,1.2919,Human
291510,6168006,1.6198,Human
291514,9591793,0,Human
291561,8753239,0.965,Human
291578,3458985,0.8429,Human
291607,6834534,0.4635,Human
291613,9592668,0.9752,Human
291720,9538371,0,Human
291753,8252350,0,Human
291758,6595707,0.5908,Human
291763,7978321,0.5623,Human
291807,7575938,1.0114,Human
291813,9594040,0.5004,Human
291827,8088684,0.5198,Human
291829,8198998,0.7356,Human
291847,9463049,0.6434,Human
291863,6342114,0.6431,Human
291871,9219894,0.1967,Bot
291874,9290163,0.1914,Bot
291878,6434998,0.8877,Human
291881,6764343,1.4139,Human
291888,9509751,1.213,Human
291902,9565944,0.6931,Bot
291912,8895250,1.3966,Human
291943,2245348,0.411,Human
291945,6938291,0.6002,Human
291990,9344650,1.0925,Human
292017,7469312,0.4134,Human
292037,6909222,1.2512,Human
292067,7754612,1.277,Human
292083,7764449,1.0972,Human
292112,9498791,0.5004,Human
292121,9598024,0.8764,Human
292123,9598139,0.7867,Human
292142,8806279,0,Human
292155,9598462,0.9556,Human
292159,9472248,1.4292,Human
292167,7931023,0.5004,Human
292179,7462397,1.6379,Human
292181,9110407,1.3722,Human
292192,7298889,0.9557,Human
292193,6611212,0.579,Human
292196,9309203,1.0031,Human
292204,5143814,0,Human
292210,8139765,1.1063,Human
292228,6628534,1.3209,Human
292249,6929891,1.1408,Human
292294,9047993,1.1752,Human
292302,9501383,0,Human
292305,9501383,1.0397,Human
292319,6848956,0.6931,Human
292330,9166284,1.4127,Bot
292339,9329564,0.6606,Human
292347,6219555,0.5928,Human
292368,6790142,0.7387,Human
292375,7876841,0.6019,Human
292377,9192626,0.2573,Human
292379,6796330,0.3986,Human
292401,8181827,1.2094,Human
292425,9591752,1.3065,Human
292437,9600753,0.5908,Human
292451,6157811,1.064,Human
292461,9329362,1.4181,Human
292468,9480657,0.6616,Human
292469,6910682,1.0509,Human
292487,9601809,1.2627,Human
292488,6651000,1.0042,Human
292512,7844315,0.913,Human
292535,9359024,0.6726,Human
292550,7736404,0.9348,Human
292555,6615811,1.072,Human
292556,9131161,1.1761,Human
292592,7239766,0.9616,Human
292609,7789210,0,Human
292634,3956627,0.5783,Human
292638,6229685,1.2521,Human
292639,8127882,1.265,Human
292679,8036295,0,Human
292752,7121687,0,Human
292772,8493481,1.2027,Human
292787,1067333,0.6365,Human
292794,9180955,0.2449,Human
292827,6715886,0.9964,Human
292838,2053008,1.3701,Human
292849,9206224,1.2389,Human
292895,9570948,0.633,Human
292901,9560143,0.6643,Human
292902,6982367,0,Human
292907,4051280,1.1548,Human
292948,8529084,1.1988,Human
292968,6504875,1.2735,Human
292996,7127706,0.796,Human
292998,6879303,1.2666,Human
293077,9612712,1.0128,Human
293132,7953383,0.9231,Human
293140,6527700,0.8154,Human
293173,7968872,0,Human
293174,8776625,1.1777,Human
293184,6342901,0.7778,Human
293207,9052229,0,Bot
293212,6114948,0,Human
293243,8187419,1.1032,Human
293319,4376173,0.2824,Human
293324,7449053,0,Human
293328,8172619,1.2343,Human
293341,6595839,0.708,Human
293350,8985385,0.3296,Human
293381,6334893,1.277,Human
293407,8473808,0.8992,Human
293418,6684052,1.1243,Human
293435,8672747,0.5505,Human
293437,6296256,1.0183,Human
293445,9164806,0.5182,Human
293462,8965083,0.3768,Human
293481,8965083,1.0658,Human
293486,7501323,0,Human
293489,4892705,1.2949,Human
293501,9485053,1.3404,Human
293502,6861088,1.3973,Human
293507,9617484,1.0303,Human
293516,6753073,1.0583,Human
293530,9166842,1.2771,Human
293533,8278187,0.5226,Human
293575,6703256,1.1452,Human
293589,3787477,0.4101,Human
293609,6905588,1.4263,Human
293616,9618319,0.6229,Human
293633,7278184,0.9557,Human
293644,6607123,0,Human
293659,8149721,0.974,Human
293663,8694283,0.9389,Human
293725,7834629,0.9907,Human
293746,9612314,0,Bot
293754,9608961,1.087,Human
293768,9620284,0.9924,Human
293802,9620732,1.2184,Human
293856,6805631,0.7636,Human
293876,7375823,1.3209,Human
293883,4734053,1.2188,Human
293925,7204840,0.5875,Human
293944,9622187,1.2912,Human
293955,9618513,0.973,Human
293956,9607687,0.7845,Human
293960,9621786,0.5329,Human
293984,6153512,1.0003,Human
293990,9622971,1.1204,Human
294006,3001124,1.3894,Human
294018,7975201,1.0096,Human
294019,8136328,1.0101,Human
294029,6481229,1.1824,Human
294035,9519958,1.0948,Human
294042,6879177,0.9503,Human
294064,9140738,0.6365,Human
294106,9120447,0,Human
294114,9623678,1.0935,Human
294123,9623735,0,Human
294153,6356222,0.0368,Human
294195,8978971,0.4101,Human
294197,7983201,0.686,Human
294219,9082147,1.3239,Human
294227,7914907,0.9251,Human
294230,8570825,0.9913,Human
294235,9158349,0.673,Human
294243,9617647,0.2664,Human
294244,9608609,0,Human
294252,6214652,0,Human
294253,9080954,1.0115,Human
294254,9625021,1.2122,Human
294269,9625253,1.0986,Human
294276,8939781,0.7436,Human
294285,7967693,0.6091,Human
294292,9340203,1.3549,Human
294298,9096026,1.313,Human
294309,7818189,1.3592,Human
294321,8820268,1.1046,Human
294355,6751771,1.0041,Human
294362,9566992,1.303,Human
294371,8036365,0.8906,Human
294383,9626332,1.2655,Human
294429,6633952,1.3926,Human
294445,6758900,0.6365,Human
294469,7983201,0,Human
294476,9621699,0.6012,Human
294484,8738232,0,Human
294492,7615432,0.9034,Human
294506,5639214,0.6792,Bot
294534,7713012,0.4101,Human
294562,9624693,0.1169,Bot
294566,8791132,0.8576,Human
294568,8859566,0.6365,Human
294575,6340744,0.0795,Human
294591,7234347,0.594,Human
294608,9628114,0.9657,Human
294620,6649825,1.4881,Human
294621,7304995,1.1151,Human
294624,8006159,1.0549,Human
294632,9474478,1.0397,Human
294642,7764449,0.3768,Human
294655,9580270,1.1389,Human
294656,9580270,1.0142,Human
294659,9580270,1.0912,Human
294660,6142659,0.8213,Human
294664,7923593,0.3488,Human
294667,9025032,1.0366,Human
294669,9474513,0.478,Human
294698,8923216,0.7778,Human
294707,4950379,0.6931,Human
294713,9628723,0.809,Human
294723,7928786,0.7739,Human
294740,9628861,0.5456,Human
294846,8669531,0.4101,Bot
294861,9268160,0.9736,Human
294865,6602247,1.0397,Bot
294871,6218550,1.1107,Human
294884,7346788,0.7775,Human
294887,7094505,0.8024,Human
294893,9630462,0.7557,Human
294901,6554822,0.6924,Human
294904,6802139,0.3927,Human
294916,6172314,1.054,Human
294933,9622093,0.4101,Human
294946,7961234,0.673,Human
294966,9206224,0.6857,Human
295010,7337470,1.3002,Human
295011,8910147,1.6342,Human
295027,6527700,0,Human
295034,8826386,0.3046,Human
295040,8705495,1.0986,Human
295041,9631850,0,Human
295045,8142442,1.5016,Human
295046,7824086,0.6616,Human
295050,7771575,1.41,Human
295051,9465985,1.0986,Human
295063,7486361,0,Human
295085,9257331,0.6365,Human
295106,7654159,1.4942,Human
295128,9632520,0,Human
295141,9544869,0.8425,Human
295162,9474478,1.1814,Human
295188,7105412,0.9503,Human
295201,9559580,1.1093,Human
295203,8168133,0.7119,Human
295204,9632978,1.3485,Human
295234,8468227,0.6365,Human
295250,9456255,1.2437,Human
295257,9532210,1.0677,Bot
295272,6512512,0,Human
295327,9320153,1.0114,Human
295351,8254530,0.9392,Human
295352,8423447,0.4438,Human
295356,9635996,0.4064,Human
295360,9425586,1.2659,Human
295432,7904246,1.0795,Human
295440,8222292,1.213,Human
295492,9639444,1.257,Human
295500,9596727,0.5222,Bot
295573,6129351,0,Human
295574,8363170,0,Human
295651,7276538,0.6723,Human
295713,9072553,0.6503,Human
295723,8293380,0.9743,Human
295750,6752780,1.2897,Human
295789,9643526,0,Human
295806,9492947,1.0986,Human
295808,6264811,0.5623,Human
295862,6836428,0.8934,Human
295917,6458922,0.8894,Human
296027,9600030,1.1252,Human
296043,6270298,0.6931,Human
296102,8896780,1.0829,Human
296126,7747137,1.1413,Human
296130,8004733,1.1472,Human
296139,9407757,1.2302,Human
296142,8955069,0.9557,Human
296161,9647573,1.1033,Bot
296180,7085965,1.2016,Human
296207,6513141,1.1907,Human
296215,7359758,0.6436,Human
296291,8467940,0.3944,Human
296304,8253540,0.3572,Human
296309,9253241,0.7255,Human
296345,7061911,0.9623,Human
296346,7061742,1.1532,Human
296359,8723026,1.0515,Human
296385,6634653,1.2231,Human
296402,6955068,0.6931,Human
296452,8554051,0,Human
296464,6979615,0.6464,Human
296493,9652008,1.228,Human
296499,6463234,0.7311,Human
296507,7111410,1.0661,Human
296509,9222937,0,Bot
296513,9098427,1.2114,Human
296544,9462146,1.3711,Human
296548,6172255,1.2972,Human
296551,3814111,0,Human
296558,6527388,0.2237,Human
296561,9411069,0,Human
296567,6119509,1.1544,Human
296569,9653328,0,Human
296585,9428428,0.3836,Human
296604,9606101,1.1082,Human
296628,7429328,0.4305,Human
296629,9195171,0.5487,Human
296636,9654309,0.7759,Human
296652,9648189,0,Bot
296696,8002591,1.148,Human
296737,6523157,0.6365,Human
296743,8614451,0.6931,Human
296836,7914320,0.1849,Human
296896,9315980,0.2004,Bot
296913,8002840,0.7042,Human
296924,9614927,0,Human
296932,6933299,1.1529,Human
296970,6301873,1.0574,Human
296981,9301775,1.2505,Human
296983,9657907,0.5941,Bot
297023,8386361,1.2949,Human
297034,6394483,1.1025,Human
297040,9504666,1.0231,Human
297065,9569896,0,Human
297105,8949099,0.5623,Human
297112,6954428,1.4121,Human
297113,8139727,1.0913,Human
297142,9603838,0.9435,Human
297155,7063490,0.2091,Human
297158,9633294,0.5623,Human
297208,9301775,1.1059,Human
297209,6519858,0,Human
297225,6690010,0.876,Human
297276,4511887,0.9257,Human
297290,9656653,0,Bot
297293,9320753,0,Human
297298,9656660,0.466,Bot
297303,8410933,1.0986,Human
297306,8724907,1.2602,Human
297313,6325258,0.4506,Human
297322,6622492,0.7317,Human
297354,8913546,0,Human
297357,9501986,1.2443,Human
297389,9663046,1.2037,Human
297396,7227012,0,Human
297401,9101962,0.4101,Bot
297418,9167071,0.6608,Human
297420,8732162,1.2576,Human
297485,6715967,1.0157,Human
297505,7260137,0.9072,Human
297507,8251338,0.8839,Human
297515,6328786,0.9276,Human
297523,8367397,0.7892,Human
297526,8903074,0.2768,Bot
297538,7969419,1.0986,Human
297551,7955022,1.1371,Human
297565,8290550,0.3309,Human
297569,6305032,1.3676,Human
297586,6733548,1.1491,Human
297610,9665451,0.8654,Human
297642,7170085,1.3863,Human
297649,9641787,0,Bot
297653,9320100,1.4512,Human
297681,9666663,0,Human
297697,8736052,1.4099,Human
297700,6219555,1.0179,Human
297706,9666948,1.3875,Human
297715,8529764,0.5004,Human
297747,6650137,1.2504,Human
297807,8711208,0.6019,Human
297815,8030572,1.1166,Human
297822,9371740,0,Human
297824,7255922,0.8092,Human
297829,9658238,1.1988,Human
297844,8975772,0.8361,Human
297890,9618621,0,Human
297895,7625954,1.1295,Human
297896,6586065,1.2608,Human
297897,7442698,0.9747,Human
297899,8671551,0.8223,Human
297908,6281130,1.515,Human
297912,9658238,1.3553,Human
297918,2759395,1.4207,Human
297932,7827686,0.7751,Human
297947,6497671,1.0027,Human
297955,9184185,1.0395,Human
297959,7998119,1.0443,Human
297970,8109236,1.2125,Human
297990,7056344,1.1615,Human
298024,6436993,0,Human
298047,8588406,0.7315,Human
298060,9651044,0.941,Human
298063,9661433,1.308,Human
298067,9546794,1.3969,Human
298068,6888743,0,Human
298072,7451818,0.1555,Human
298100,9494589,0,Human
298132,9473284,0.5623,Bot
298185,6762046,0,Bot
298201,9485053,0.656,Human
298203,8311618,1.0503,Human
298213,9672768,1.215,Human
298224,7520274,1.0042,Human
298227,9085886,1.0236,Human
298240,8946172,1.322,Human
298248,9663353,0.5422,Human
298251,8194042,0.995,Human
298252,6111622,1.0078,Human
298264,9492951,1.0094,Human
298281,9154186,0.2392,Human
298330,6501117,0.5466,Human
298336,6308478,1.377,Human
298342,7589252,0,Human
298363,7834099,1.1289,Human
298377,9101610,1.2149,Human
298411,9320598,0,Human
298417,8391058,1.2211,Human
298419,9645448,1.1591,Human
298421,8767644,0.3488,Human
298422,9676045,1.077,Human
298432,9676283,1.2782,Human
298433,9676256,1.0257,Human
298448,6256246,1.1928,Human
298455,7018901,0.8717,Human
298470,9634810,0.2237,Human
298473,6489468,0,Bot
298479,6865493,0.7403,Human
298498,7814008,0.487,Human
298504,7669364,0.9447,Human
298526,9485651,0.8931,Human
298527,9320153,1.5568,Human
298538,6949770,0.8011,Human
298565,9620684,0.6365,Human
298567,9620572,0,Human
298573,8076593,0.8209,Human
298588,6923201,1.0313,Human
298594,9566286,1.2445,Human
298602,8342856,0.5427,Human
298605,9678134,0.9988,Human
298615,7461428,1.2196,Human
298628,3458985,0.6304,Human
298633,9678636,0.3146,Human
298636,6910518,0.4246,Human
298641,8670975,0,Bot
298662,8950170,0,Human
298679,6339370,1.2789,Human
298702,9679682,1.4386,Human
298717,7231489,0.847,Human
298742,9501578,0.6931,Human
298772,9218470,0.8667,Human
298819,9039400,0.4378,Human
298825,9472538,1.0157,Human
298843,9501986,0.9166,Human
298861,6589155,0.6931,Human
298865,6168006,0.6365,Human
298941,6647072,0.6909,Human
298964,9618513,0.9562,Human
298976,9344940,1.0583,Human
298984,8519034,1.2555,Human
299021,7713012,1.0889,Human
299023,2245348,0.7482,Human
299027,9682908,1.2724,Human
299028,6478394,0,Human
299040,9665377,1.451,Human
299073,9548926,0,Bot
299092,6949770,0.2612,Human
299132,9591617,1.2062,Human
299138,9278722,0.5004,Bot
299140,8830199,1.122,Human
299142,8371858,0.9777,Human
299146,9405836,1.0018,Human
299154,7330446,1.2219,Human
299165,7764449,0.6019,Human
299179,9397324,1.0913,Human
299217,7533022,0.673,Human
299218,7056344,0.9824,Human
299228,9685595,0,Human
299233,6955068,1.1439,Human
299237,8118173,0.4536,Human
299246,9685012,0,Human
299247,9354348,0,Human
299276,9686234,1.0405,Human
299277,9631850,1.213,Human
299286,6649240,0.7771,Human
299319,7635821,0.6931,Human
299328,9546047,0.7306,Human
299344,9687146,1.1187,Human
299350,6978915,0.945,Human
299360,6887455,0.9224,Human
299379,7555809,0.7963,Human
299434,8339252,1.4111,Human
299445,6733548,1.4261,Human
299455,9687970,0,Human
299560,6414584,0.5004,Human
299597,7414304,0.8935,Human
299603,4535589,0.2573,Human
299621,9155436,0.308,Human
299646,7678752,1.3964,Human
299649,9690560,1.2355,Human
299652,8992195,0,Human
299659,7905990,0,Human
299663,7100084,1.0549,Human
299669,9690829,0.8344,Human
299686,7528617,1.2555,Human
299696,9566286,1.0797,Human
299698,6648031,0.9051,Human
299705,7361994,0.9773,Human
299712,9691217,0.8544,Human
299726,9620284,1.119,Human
299750,6405987,1.2673,Human
299754,9687483,0,Human
299769,6410199,0.6905,Human
299775,8428528,0.8409,Human
299787,7053938,0.9113,Human
299811,6669498,0,Human
299835,8257561,1.2004,Human
299849,8590386,0.4196,Human
299896,6720008,1.1731,Human
299919,9241060,1.3015,Human
299920,9691816,1.1537,Human
299923,9250878,0.6173,Human
299926,8157430,1.0861,Human
299936,8956902,1.2774,Human
299939,6596212,1.3136,Human
299949,6981815,0.4792,Human
299967,9260175,0.9372,Human
299974,9693742,0,Human
300009,9693814,0,Human
300019,6554442,0.7673,Human
300021,8363170,0,Human
300029,6460389,1.0084,Human
300051,9610101,0.4007,Human
300061,7423076,0.5004,Bot
300063,9608961,1.1175,Human
300064,9130074,1.0547,Human
300067,6329462,1.3322,Human
300108,9374412,1.18,Human
300113,9526376,1.087,Human
300125,7189193,0,Human
300139,9594040,0.4362,Human
300143,9518371,0.367,Human
300145,5193511,1.0734,Human
300150,8236811,0.4851,Human
300154,7882314,0.5623,Human
300161,9154186,1.0118,Human
300162,7738220,0.6931,Human
300175,9665377,0.8552,Human
300182,9690817,0.5942,Human
300191,9542404,0,Human
300192,8429861,0.9639,Human
300198,6458244,0.7084,Human
300203,2751631,1.2574,Human
300211,6941031,0.673,Human
300213,7314894,0.8492,Human
300220,7429328,0.9857,Human
300236,6751148,1.0522,Human
300237,8081760,1.3297,Human
300247,7008515,0.6019,Human
300262,9686893,1.1839,Human
300267,6836428,0.6474,Human
300281,8867206,0,Human
300282,6973987,0.9743,Human
300317,8702128,1.1298,Human
300319,7126514,0.6365,Human
300320,7640915,1.369,Human
300334,7056344,1.4515,Human
300344,7783495,0.9587,Human
300372,9452410,0.8715,Human
300375,7861402,1.0549,Human
300397,8922340,1.2999,Human
300407,7831112,1.1848,Human
300419,7290273,0.2712,Human
300423,6598571,1.1848,Human
300425,6210360,1.1433,Human
300428,7181035,1.075,Human
300434,9661433,1.245,Human
300464,9700476,0.0732,Human
300465,8793183,0.9743,Human
300472,9700509,0.8987,Human
300474,7878267,0.8921,Human
300502,8405888,1.3588,Human
300506,8377523,1.3031,Human
300509,9356410,0,Human
300516,9526584,0.5983,Human
300536,9701326,0.7079,Human
300553,9697461,0.8854,Human
300586,9375182,0.918,Human
300598,9701998,0.8713,Human
300636,7059604,0.9399,Human
300658,9330286,0.6779,Human
300663,9592668,0.5457,Human
300675,8326954,0.7352,Human
300679,8736425,0.4851,Human
300691,9534617,1.4986,Human
300695,8367397,0.5661,Human
300698,9702633,1.0297,Human
300717,9598743,1.2931,Human
300749,7059604,0.8065,Human
300754,6335741,0.8771,Human
300808,7271858,0,Human
300823,6784444,1.2763,Human
300828,9699010,0.9861,Human
300839,9479210,1.1939,Human
300842,6501117,0.8786,Human
300869,7021386,1.1802,Human
300872,8052115,1.2019,Human
300881,9704647,0,Human
300883,9428428,0.5223,Human
300933,4646465,0.8314,Human
300957,9705939,0.3046,Human
300970,7423289,1.516,Human
300971,7896556,0.8958,Human
300978,7103528,0.7575,Human
301002,9544869,1.1037,Human
301043,7769363,0.8359,Human
301074,9581497,0,Human
301078,8547864,0.2262,Human
301109,9135223,0.6837,Human
301116,8921762,0.5799,Human
301119,7004996,0,Human
301125,8953110,0.8676,Human
301133,7011497,0.5436,Human
301139,6309619,1.0941,Human
301159,6600618,1.0397,Human
301171,9708043,0.4737,Human
301212,6886097,0,Human
301215,9301775,1.0028,Human
301259,6301719,0.673,Human
301260,9018837,0.3318,Human
301262,6897977,0,Human
301267,9709088,1.1094,Human
301269,9498504,1.3024,Human
301276,9073532,0,Human
301285,6850220,0.4948,Human
301338,7102481,1.3781,Human
301352,6778369,0.6035,Human
301359,9710676,0.9813,Human
301364,9710667,0,Human
301377,9566286,0,Human
301408,7501955,1.4711,Human
301433,9496590,1.0181,Human
301449,9711465,0.5425,Bot
301473,6813125,0.6931,Bot
301488,7410781,0.9653,Human
301492,7462318,0.4912,Human
301499,3127559,1.2526,Human
301526,9694165,1.2033,Human
301545,7521134,0.9743,Human
301569,6548235,0.5373,Human
301570,7461428,1.2869,Human
301574,9712821,1.1537,Human
301610,9506552,0.6365,Human
301639,2245348,0.6581,Human
301642,9446029,0,Human
301657,9206777,0.6812,Human
301672,8787126,0.5293,Human
301677,9713438,0.5252,Human
301681,9620624,0,Human
301686,6522340,0.84,Human
301713,9701138,0.6663,Human
301716,9710320,1.3666,Human
301719,9708050,1.3075,Human
301733,9577342,1.0822,Human
301737,6727514,1.1033,Human
301742,8529764,0.837,Human
301762,8042359,1.3432,Human
301768,6520480,0.3499,Human
301794,6807528,1.3416,Human
301806,8779197,1.282,Human
301816,6968107,0.865,Human
301822,9269414,0.4897,Human
301832,9711278,0.9135,Human
301860,7075348,0.7721,Human
301883,7415628,0.9833,Human
301890,9631850,1.0986,Human
301939,9715953,0.5777,Human
301964,9415707,0.9208,Bot
301987,8451315,0.1732,Human
301998,6717517,0.9464,Human
302005,7166508,0.7691,Human
302019,4319952,0,Human
302024,7625822,0.8291,Human
302049,9544572,1.3863,Human
302054,9233058,1.123,Human
302056,8254579,0.9533,Human
302071,9402303,0.6169,Human
302075,9717255,0.3995,Human
302101,9647573,0.9029,Bot
302107,9706529,1.2613,Human
302113,9683291,0.8237,Human
302124,8289795,0.7959,Human
302127,6656616,1.1901,Human
302138,6726427,0.1584,Human
302141,8902585,0.7595,Human
302147,9322651,0.8981,Human
302150,9662095,0.2411,Human
302151,9662095,0,Human
302153,9662095,0,Human
302156,9662095,0,Human
302157,9662095,0,Human
302162,9573711,1.3996,Human
302167,9356642,0.8657,Human
302174,9718143,0.1549,Bot
302177,7243206,1.3377,Human
302181,6119509,1.1405,Human
302196,9569896,0.8979,Human
302207,8100139,0.5116,Human
302208,8631583,1.1164,Human
302216,9544572,1.4328,Human
302219,4195119,1.2531,Human
302243,9503876,0.6789,Human
302269,9431452,0.7794,Human
302344,7783495,0,Human
302357,9720094,0.6931,Human
302358,9720088,1.2325,Human
302359,6748016,0.4095,Human
302391,7905723,1.3397,Human
302400,8277106,1.1182,Human
302409,8291325,1.108,Human
302475,7196516,1.304,Human
302480,9253656,1.1881,Human
302483,9721429,0.9814,Human
302484,9721414,0.6109,Human
302516,8027104,0.5004,Human
302525,9721855,0.2911,Human
302536,9690339,1.1365,Human
302542,9721959,0.6019,Human
302549,6466039,0.6497,Human
302561,7547903,0.8397,Human
302563,9631607,1.1762,Human
302620,5707676,0,Human
302637,9722610,0.9147,Human
302654,8594140,1.166,Human
302661,6634040,1.2502,Human
302669,6895749,1.0065,Human
302671,7063288,0,Human
302691,6885185,1.2318,Human
302712,6370335,0.7262,Human
302722,9723385,0.8036,Human
302744,9723575,0,Human
302772,8400451,0.6365,Human
302806,9724187,1.0933,Human
302808,8286764,0.7469,Human
302818,9724234,1.0075,Human
302829,9566992,1.028,Human
302837,6601034,0.9886,Human
302856,8196051,0.9674,Human
302892,6774442,1.0926,Human
302908,9725439,0,Bot
302919,6719412,0.9369,Human
302943,9699223,1.1124,Human
302953,9693579,0.4506,Human
302971,9726069,1.2217,Human
302978,9726197,0.6098,Human
302995,4495121,0.923,Human
302999,9096460,0.6277,Human
303010,9726528,0.711,Human
303014,9519542,0.6931,Human
303027,6489506,0,Bot
303028,9701996,1.1491,Human
303054,9727070,1.046,Human
303070,7032434,1.244,Human
303146,9726015,0,Human
303148,7348671,1.1555,Human
303155,4968079,0.5854,Human
303157,5823503,0.5028,Human
303170,6878659,1.2178,Human
303179,7114476,0.9269,Human
303182,6666224,1.2699,Human
303262,7066563,1.0766,Human
303287,6154925,0.905,Human
303291,9729151,0.6931,Human
303324,7919486,1.1112,Human
303332,6168006,1.0111,Human
303338,7453939,1.5254,Human
303357,9416111,1.2425,Human
303366,6349782,1.4594,Human
303372,7520274,1.0266,Human
303376,7501955,0.4506,Human
303384,6244169,0.4243,Human
303408,8564550,0.8487,Human
303443,7197614,1.0428,Human
303447,9731157,0.6164,Human
303451,6613666,0.9838,Human
303456,9659473,1.3481,Human
303457,8482083,0.5028,Human
303458,7485720,0.5961,Human
303466,9715447,1.2638,Human
303469,9731700,0.6969,Human
303470,9378131,0,Human
303477,6702062,0.919,Human
303490,8206142,0.5594,Human
303498,9631607,1.2407,Human
303513,9732293,1.0905,Human
303518,6590766,1.4473,Human
303519,6719020,1.2123,Human
303537,6964872,1.0986,Human
303545,6410199,0.9002,Human
303564,7185442,0,Bot
303579,9428428,0.1985,Human
303594,6673954,0.86,Human
303665,9015688,1.0699,Human
303669,8690469,0.7969,Human
303706,6780988,0.7104,Human
303711,9429800,0.9314,Human
303740,6887455,0.7194,Human
303772,7051558,1.1952,Human
303822,9685012,0.9828,Human
303849,6949460,1.1653,Human
303871,9736684,0.9018,Human
303882,2792341,1.5185,Human
303884,7920193,0.2868,Human
303909,8121629,0.8651,Human
303950,9707619,0,Bot
303965,7317480,0.9907,Human
303966,9070848,0.6365,Human
304000,7030131,0.7356,Human
304002,7139883,0,Human
304004,8080861,1.2094,Human
304010,6119509,1.0187,Human
304012,6119509,0.985,Human
304036,7021386,1.3677,Human
304048,7639302,1.0631,Human
304072,9128943,1.0996,Human
304074,6706110,0.9572,Human
304110,6537502,0.9971,Bot
304121,9705306,1.0027,Human
304163,6301205,1.1059,Human
304172,9360393,0.6931,Human
304177,6724682,0.6365,Human
304178,4664761,0,Human
304205,9706769,1.2864,Human
304210,9726372,1.0329,Human
304213,8970354,0.6931,Human
304216,7548615,1.5056,Human
304237,9628114,0,Human
304252,9731759,1.1346,Human
304256,9086359,0.9163,Human
304259,9600030,1.2049,Human
304276,7509050,1.0734,Human
304279,6601034,0.5614,Human
304283,6402457,0.9911,Human
304284,9742157,0.9137,Human
304294,9742269,1.0609,Human
304296,6553151,1.0357,Human
304310,6840732,0.2449,Human
304354,8421054,0.1849,Human
304366,9394274,1.3792,Human
304375,9566286,0,Human
304377,9729573,0.9185,Human
304382,6641310,1.087,Human
304406,9734415,1.3553,Human
304411,7257815,0.6365,Human
304432,9180226,0.8378,Human
304443,6694525,0.5623,Human
304457,7522799,0.8259,Human
304479,7050204,0,Human
304512,9625021,0.6497,Human
